ID,CONTENTID,CONTENTNAME,真实播放量,外显播放量,CREATETIME,UPDATETIME
707242,100353,狗、公鸡和狐狸：好朋友智斗狡猾狐狸,5071,37972,2024-02-0320:22:26,2024-06-1306:16:48
663185,55412,孙二娘：侠义女子,5042,37678,2024-02-0221:42:04,2024-06-1318:28:17
738685,100174,从后宫妃嫔到千古第一女帝——武则天,5008,37612,2024-02-0416:40:28,2024-06-1312:19:54
714058,55418,108将排名的奥秘,4985,37392,2024-02-0321:58:52,2024-06-1317:15:29
649672,521553,48,4956,37326,2024-02-0217:33:26,2024-06-1222:11:41
793245,55402,卢俊义：逼上梁山,4946,37110,2024-02-0600:07:13,2024-06-1315:33:46
736494,100165,“私生子”的王位逆袭路，会成功吗？,4935,36991,2024-02-0415:30:27,2024-06-1222:16:08
649359,739445,第十四节【小学】高效学习方法精讲,4932,37077,2024-02-0217:18:23,2024-06-1312:38:00
793358,55401,杨志：杨志卖刀,4930,36941,2024-02-0600:14:23,2024-06-1318:49:35
692637,55417,明白这些文言词才能读懂《水浒传》,4924,37086,2024-02-0313:38:21,2024-06-1317:23:16
793469,55400,吴用：智取生辰纲,4915,36902,2024-02-0600:21:59,2024-06-1318:42:19
674923,727861,第七节【小学】高效学习方法精讲,4898,36707,2024-02-0308:20:10,2024-06-1318:39:26
707820,101726,乌鸦喝水：怎样才能喝到瓶子里的水？,4895,36824,2024-02-0320:31:11,2024-06-1306:25:44
663878,55413,顾大嫂：野蛮劫狱,4855,36378,2024-02-0221:49:35,2024-06-1318:29:15
706033,100175,贵妃一开口，马儿跑断腿——这样的爱情幸福吗？,4843,36245,2024-02-0319:56:41,2024-06-1223:12:31
1638773,64752,草鞋起家，最终成帝——汉昭烈帝刘备,4823,36236,2024-03-0420:55:40,2024-06-1223:39:40
692208,55415,金圣叹评水浒,4792,36002,2024-02-0313:23:02,2024-06-1317:37:13
1647382,64755,百姓闹饥荒，天子的第一句话竟然是：为什么他们不吃肉？！,4790,35818,2024-03-0423:06:25,2024-06-1318:32:57
793151,55403,燕青：忠心救主,4784,35918,2024-02-0600:00:54,2024-06-1319:04:08
659446,728631,第十二节【小学】高效学习方法精讲,4774,35695,2024-02-0220:52:49,2024-06-1318:37:15
1646813,64754,这位皇帝的胡须可以摸！——东吴大帝孙权,4772,35722,2024-03-0422:51:29,2024-06-1318:14:10
1638775,64753,扶不起的刘阿斗——蜀汉后主刘禅,4743,35695,2024-03-0420:55:43,2024-06-1318:06:00
738089,100172,绵羊爸爸的战狼儿子——唐太宗李世民,4725,35303,2024-02-0416:25:38,2024-06-1312:05:26
692413,55416,有手艺的108将,4719,35215,2024-02-0313:31:15,2024-06-1317:30:09
865675,746534,第二十一节四年级学习方法8,4700,35375,2024-02-0814:03:06,2024-05-3012:17:20
675087,727863,第九节【小学】高效学习方法精讲,4693,35227,2024-02-0308:24:24,2024-06-1318:39:28
736816,100167,大器晚成的铁腕皇帝——宋武帝刘裕,4647,34994,2024-02-0415:45:02,2024-06-1307:24:33
643803,521552,47河水竟然能倒流？,4638,34962,2024-02-0213:25:20,2024-06-1222:10:25
643155,455030,8,4609,34703,2024-02-0213:02:16,2024-06-1121:55:08
706368,100176,五代十国第一明君——周世宗柴荣,4608,34389,2024-02-0320:05:27,2024-06-1307:25:03
676363,727865,第十节【小学】高效学习方法精讲,4563,34282,2024-02-0309:02:37,2024-06-1318:39:33
736984,100168,搬家，我是认真的——北魏孝文帝拓跋宏,4561,34076,2024-02-0415:53:01,2024-06-1312:14:11
793054,55404,柴进：失陷高唐,4554,34184,2024-02-0523:53:21,2024-06-1318:56:35
718949,728632,第十三节小学】高效学习方法精讲,4511,33989,2024-02-0323:31:16,2024-06-1312:42:40
649895,727862,第八节【小学】高效学习方法精讲,4476,33438,2024-02-0217:41:01,2024-06-1312:37:20
736652,100166,谎话连成篇，父姓甩一边——光文帝刘渊,4416,33324,2024-02-0415:38:11,2024-06-1307:17:43
643916,55411,扈三娘：绝色双刀一丈青,4405,33229,2024-02-0213:30:15,2024-06-1318:21:50
738373,100173,孝字当头的好儿子——唐高宗李治,4403,33038,2024-02-0416:32:51,2024-06-1312:12:37
737118,100169,史上最钟情的皇帝——隋文帝杨坚,4399,33082,2024-02-0416:01:41,2024-06-1312:50:33
708199,101727,狐狸和樵夫：路过小屋被搭救，狐狸却恩将仇报？,4369,32813,2024-02-0320:37:13,2024-06-1306:31:55
643301,457910,为什么别人打哈欠你也想跟着打？11谁是世界上牙齿最多的动物？,4339,32589,2024-02-0213:06:33,2024-06-1212:29:54
902866,78598,橡皮：为什么能擦掉铅笔的痕迹？,4331,32434,2024-02-1022:03:25,2024-06-1317:26:26
792952,55405,晁盖：上梁山火并王伦,4265,32040,2024-02-0523:46:34,2024-06-1318:49:48
