ID,CONTENTID,TRUEPLAYCNT,FALSEPLAYCNT,TRUEDOWNLOADNUM,FALSEDOWNLOADNUM,TRUESHARENUM,FALSESHARENUM,STATUS,CREATETIME,UPDATETIME
793469,55400,4915,36902,0,0,0,0,1,2024-02-0600:21:59,2024-06-1318:42:19
674923,727861,4898,36707,0,0,0,0,1,2024-02-0308:20:10,2024-06-1318:39:26
707820,101726,4895,36824,0,0,0,0,1,2024-02-0320:31:11,2024-06-1306:25:44
663878,55413,4855,36378,0,0,0,0,1,2024-02-0221:49:35,2024-06-1318:29:15
706033,100175,4843,36245,0,0,0,0,1,2024-02-0319:56:41,2024-06-1223:12:31
1638773,64752,4823,36236,0,0,0,0,1,2024-03-0420:55:40,2024-06-1223:39:40
692208,55415,4792,36002,0,0,0,0,1,2024-02-0313:23:02,2024-06-1317:37:13
1647382,64755,4790,35818,0,0,0,0,1,2024-03-0423:06:25,2024-06-1318:32:57
793151,55403,4784,35918,0,0,0,0,1,2024-02-0600:00:54,2024-06-1319:04:08
659446,728631,4774,35695,0,0,0,0,1,2024-02-0220:52:49,2024-06-1318:37:15
1646813,64754,4772,35722,0,0,0,0,1,2024-03-0422:51:29,2024-06-1318:14:10
1638775,64753,4743,35695,0,0,0,0,1,2024-03-0420:55:43,2024-06-1318:06:00
738089,100172,4725,35303,0,0,0,0,1,2024-02-0416:25:38,2024-06-1312:05:26
692413,55416,4719,35215,0,0,0,0,1,2024-02-0313:31:15,2024-06-1317:30:09
865675,746534,4700,35375,0,0,0,0,1,2024-02-0814:03:06,2024-05-3012:17:20
675087,727863,4693,35227,0,0,0,0,1,2024-02-0308:24:24,2024-06-1318:39:28
736816,100167,4647,34994,0,0,0,0,1,2024-02-0415:45:02,2024-06-1307:24:33
643803,521552,4638,34962,0,0,0,0,1,2024-02-0213:25:20,2024-06-1222:10:25
643155,455030,4609,34703,0,0,0,0,1,2024-02-0213:02:16,2024-06-1121:55:08
706368,100176,4608,34389,0,0,0,0,1,2024-02-0320:05:27,2024-06-1307:25:03
676363,727865,4563,34282,0,0,0,0,1,2024-02-0309:02:37,2024-06-1318:39:33
736984,100168,4561,34076,0,0,0,0,1,2024-02-0415:53:01,2024-06-1312:14:11
793054,55404,4554,34184,0,0,0,0,1,2024-02-0523:53:21,2024-06-1318:56:35
718949,728632,4511,33989,0,0,0,0,1,2024-02-0323:31:16,2024-06-1312:42:40
649895,727862,4476,33438,0,0,0,0,1,2024-02-0217:41:01,2024-06-1312:37:20
736652,100166,4416,33324,0,0,0,0,1,2024-02-0415:38:11,2024-06-1307:17:43
643916,55411,4405,33229,0,0,0,0,1,2024-02-0213:30:15,2024-06-1318:21:50
738373,100173,4403,33038,0,0,0,0,1,2024-02-0416:32:51,2024-06-1312:12:37
737118,100169,4399,33082,0,0,0,0,1,2024-02-0416:01:41,2024-06-1312:50:33
708199,101727,4369,32813,0,0,0,0,1,2024-02-0320:37:13,2024-06-1306:31:55
643301,457910,4339,32589,0,0,0,0,1,2024-02-0213:06:33,2024-06-1212:29:54
902866,78598,4331,32434,0,0,0,0,1,2024-02-1022:03:25,2024-06-1317:26:26
792952,55405,4265,32040,0,0,0,0,1,2024-02-0523:46:34,2024-06-1318:49:48
